GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
streamline,com.walit.streamline,Core,135,408,6,2,39,63,15,5,12,4
streamline,com.walit.streamline.Debug,StreamLineMessages,0,35,0,0,0,8,0,3,0,3
